stage,selector,sweep,threshold,target_fraction,trial,num_splats,total_splats,fraction,compression_ratio,avg_opacity_kept,avg_opacity_all,splat_mem_mb,confidence_mem_mb,render_mem_mb,psnr,ssim,lpips,render_time_s,avg_conf_kept,avg_conf_all,psnr_base,ssim_base,lpips_base,psnr_drop,ssim_drop,lpips_delta,scene,variant,config,result_dir
val,confidence,budget,,0.05,0,277041,5540829,0.0499999187847161,20.000032486166308,0.3395144045352936,0.3809724450111389,64.46648025512695,2.1136550903320312,62.35282516479492,7.044254302978516,0.0147666204720735,0.7681530714035034,0.0010476211706797,1.0,0.8096300363540649,27.37754821777344,0.8633615374565125,0.0774391666054725,20.33329391479492,0.8485949169844389,0.6907139047980309,garden,default_no_sparsity,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_sparsity
val,confidence,budget,,1.0,0,8100770,8100770,1.0,1.0,0.2385452091693878,0.2385452091693878,1885.021095275879,61.80397033691406,1823.2171249389648,27.215681076049805,0.8583628535270691,0.0853961333632469,0.0097872416178385,0.1034945175051689,0.1034945175051689,27.215681076049805,0.8583628535270691,0.0853961333632469,0.0,0.0,0.0,garden,default_no_entropy,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_entropy
val,confidence,budget,,0.75,0,6075578,8100770,0.7500000617225276,1.3333332236044044,0.3147631883621216,0.2385452091693878,1413.7659378051758,46.35298156738281,1367.412956237793,27.215681076049805,0.8583628535270691,0.0853961333632469,0.0081579685211181,0.1379798203706741,0.1034945175051689,27.215681076049805,0.8583628535270691,0.0853961333632469,0.0,0.0,0.0,garden,default_no_entropy,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_entropy
val,confidence,budget,,0.5,0,4050385,8100770,0.5,2.0,0.4671710431575775,0.2385452091693878,942.5105476379396,30.90198516845703,911.6085624694824,27.215681076049805,0.8583628535270691,0.0853961333632469,0.0064121087392171,0.2068560421466827,0.1034945175051689,27.215681076049805,0.8583628535270691,0.0853961333632469,0.0,0.0,0.0,garden,default_no_entropy,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_entropy
val,confidence,budget,,0.35,0,2835270,8100770,0.3500000617225276,2.8571423532855778,0.662330150604248,0.2385452091693878,659.7574996948242,21.631393432617188,638.126106262207,27.215681076049805,0.8583628535270691,0.0853961333632469,0.0052889287471771,0.2949628233909607,0.1034945175051689,27.215681076049805,0.8583628535270691,0.0853961333632469,0.0,0.0,0.0,garden,default_no_entropy,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_entropy
val,confidence,budget,,0.25,0,2025192,8100770,0.2499999382774723,4.000000987560686,0.7998095750808716,0.2385452091693878,471.2551574707031,15.45098876953125,455.8041687011719,26.966781616210938,0.8560312986373901,0.0869617760181427,0.0044821103413899,0.3789440393447876,0.1034945175051689,27.215681076049805,0.8583628535270691,0.0853961333632469,0.2488994598388672,0.0023315548896789,0.0015656426548957,garden,default_no_entropy,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_entropy
val,confidence,budget,,0.15,0,1215116,8100770,0.1500000617225276,6.666663923444346,0.8918192982673645,0.2385452091693878,282.75328063964844,9.270599365234377,273.48268127441406,24.003013610839844,0.7901562452316284,0.1308185309171676,0.0034114917119344,0.4444626569747925,0.1034945175051689,27.215681076049805,0.8583628535270691,0.0853961333632469,3.212667465209961,0.0682066082954406,0.0454223975539207,garden,default_no_entropy,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_entropy
val,confidence,budget,,0.1,0,810077,8100770,0.1,10.0,0.9205352067947388,0.2385452091693878,188.5021095275879,6.180397033691406,182.32171249389648,20.29251289367676,0.6676713824272156,0.2125763595104217,0.0027792155742645,0.4796422123908996,0.1034945175051689,27.215681076049805,0.8583628535270691,0.0853961333632469,6.923168182373047,0.1906914710998535,0.1271802261471748,garden,default_no_entropy,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_entropy
val,confidence,budget,,0.05,0,405038,8100770,0.0499999382774723,20.00002468904152,0.9474391341209412,0.2385452091693878,94.25093841552734,3.090194702148437,91.1607437133789,15.66657257080078,0.4606122374534607,0.3609016835689544,0.0020881096522013,0.5343080163002014,0.1034945175051689,27.215681076049805,0.8583628535270691,0.0853961333632469,11.549108505249023,0.3977506160736084,0.2755055502057075,garden,default_no_entropy,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_entropy
val,confidence,budget,,1.0,0,8260787,8260787,1.0,1.0,0.2596606910228729,0.2596606910228729,1922.2564964294436,63.02480316162109,1859.2316932678225,27.20049285888672,0.8583299517631531,0.0859735831618309,0.0100602904955546,0.0900045037269592,0.0900045037269592,27.20049285888672,0.8583299517631531,0.0859735831618309,0.0,0.0,0.0,garden,default_no_ranking,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_ranking
val,confidence,budget,,0.75,0,6195590,8260787,0.7499999697365396,1.3333333871350428,0.3429012298583984,0.2596606910228729,1441.6923141479492,47.26860046386719,1394.423713684082,27.20049285888672,0.8583299517631531,0.0859735831618309,0.008404403924942,0.1200060024857521,0.0900045037269592,27.20049285888672,0.8583299517631531,0.0859735831618309,0.0,0.0,0.0,garden,default_no_ranking,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_ranking
val,confidence,budget,,0.5,0,4130394,8260787,0.5000000605269207,1.9999997578923463,0.508915901184082,0.2596606910228729,961.1283645629884,31.51240539550781,929.6159591674804,27.20049285888672,0.8583299517631531,0.0859735831618309,0.0065874059995015,0.1800089627504348,0.0900045037269592,27.20049285888672,0.8583299517631531,0.0859735831618309,0.0,0.0,0.0,garden,default_no_ranking,default,/scratch/amirrz/results/cs_resubmit/garden/default_no_ranking
